LID,ARTIST,EN_TITLE,KR_TITLE,GENRE,IS_OFFICIAL,URL
115,twice,alcohol free,alcohol free,k-pop,0.0,https://youtu.be/kxZGa69o5fM
116,mamamoo,where are we now,where are we now,k-pop,0.0,https://youtu.be/E-zEaMikl20
117,bts,boy in luv,상남자,k-pop,0.0,https://youtu.be/Jrob7qtB5SI
118,black pink,lovesick girls,lovesick girls,k-pop,0.0,https://youtu.be/3oXCkizO2aI
119,dreamcatcher,deja vu,deja vu,k-pop,0.0,https://youtu.be/cuhENrcWW1M
120,tomorrow x together,can't you see me,"세계가 불타버린 밤, 우린...",k-pop,0.0,https://youtu.be/ba6w6g9MTYw
121,black pink,don't know what to do,don't know what to do,k-pop,0.0,https://youtu.be/CrU-y3XPSc8
122,black pink,feel special,feel special,k-pop,0.0,https://youtu.be/BaoW7Ez9kMw
123,twice,what is love,what is love,k-pop,0.0,https://youtu.be/SRp_Y5tdUs0
124,twice,Like OOH-AHH,OOH-AHH하게,k-pop,0.0,https://youtu.be/4kGTrWX1158
125,black pink,hope not,아니길,k-pop,0.0,https://youtu.be/zDUVUFFAW6o
126,twice,fancy,fancy,k-pop,0.0,https://youtu.be/9xcrRWKbeWc
127,dreamcatcher,piri,피리,k-pop,0.0,https://youtu.be/4neWTqm7xjs
128,red velvet,dumb dumb,dumb dumb,k-pop,0.0,https://youtu.be/vp2bpTmlV28
129,dreamcatcher,what,what,k-pop,0.0,https://youtu.be/Y9d6ekimd0Y
130,black pink,kill this love,kill this love,k-pop,0.0,https://youtu.be/284NTDYvxvQ
131,mamamoo,gogobebe,gogobebe,k-pop,0.0,https://youtu.be/HliBAWiukC8
132,exid,up & down,위아래,k-pop,0.0,https://youtu.be/vyF7M3Qkpko
133,dreamcatcher,you and i,you and i,k-pop,0.0,https://youtu.be/E25YRn--0OY
134,bts,idol,idol,k-pop,0.0,https://youtu.be/9npL_mJLm8U
135,twice,heartshaker,heartshaker,k-pop,0.0,https://youtu.be/k7ktIujSuKw
136,black pink,DDU-DU DDU-DU,뚜두뚜두,k-pop,0.0,https://youtu.be/RRj2KsQVRtk
137,bts,run,run,k-pop,0.0,https://youtu.be/af--ZGW3mJk
138,red velvet,red flavor,빨간맛,k-pop,0.0,https://youtu.be/Tm70wJxIrm4
139,dreamcatcher,good night,good night,k-pop,0.0,https://youtu.be/-wmHJ2-IV3w
140,twice,signal,signal,k-pop,0.0,https://youtu.be/tCaLIs9hZAw
141,twice,tt,tt,k-pop,0.0,https://youtu.be/oKz71mxcBks
142,exid,l.i.e,l.i.e,k-pop,0.0,https://youtu.be/53I-P8YvJaM
143,dreamcatcher,chase me,chase me,k-pop,0.0,https://youtu.be/xZlgr7gTpcI
144,aoa,heart attack,심쿵해,k-pop,0.0,https://youtu.be/NOoxbQr6uVI
145,girls' generation,catch me if you can,catch me if you can,k-pop,0.0,https://youtu.be/9mhZeyXSceE
146,aoa,like a cat,사뿐사뿐,k-pop,0.0,https://youtu.be/OpV62-86Fv4
147,vix,error,error,k-pop,0.0,https://youtu.be/6ei9I0xcfz8
148,2ne1,crush,crush,k-pop,0.0,https://youtu.be/dbakPMr9XdY
149,2ne1,gotta be you,너 아님 안돼,k-pop,0.0,https://youtu.be/9x9XqX8RSyE
150,2ne1,come back home,come back home,k-pop,0.0,https://youtu.be/b-sBxeXvnuc
151,nichkhun,umbrella,,k-pop,1.0,
152,wonder girls,so hot,,k-pop,1.0,
153,exid,fire,,k-pop,1.0,
154,brian joo,can't stop,,k-pop,1.0,
